text,label
vegetable oil,halal
beef stock contains less than of mirepoix carrots celery onions salt natural flavoring yeast extract cane sugar,halal
clam stock potatoes clams cream vegetable oil corn canola andor soybean celery contains less than of modified food starch salt wheat flour soy protein concentrate uncured smoked bacon piecesno nitrates or nitrites added except for those naturally occurring in sea salt pork water sea salt sugar dried onions spices sodium phosphate flavoring clam extract succinic acid sugar soy lecithin soy sauce soybeans wheat saltcontains cod wheat milk soy,haram
water cream broccoli celery vegetable oil corn canola andor soybean modified food starch cheddar cheese cheddar cheese cultured milk salt enzymes whey salt sodium phosphate contains less than of butter parmesan and cheddar cheese milk cultures salt enzymes wheat flour salt potatoes onions soy protein concentrate roasted garlic annatto extract for color soy lecithin driedcontains wheat milk soy,haram
chicken stock contains less than of yeast extract dehydrated chicken natural flavoring carrot juice concentrate celeriac juice concentrate chicken fat onion extract,halal
water pea beans carrots cooked ham water added pork water salt sugar sodium phosphates sodium ascorbate sodium nitrite celery contains less than of modified food starch sugar tomato paste salt wheat flour yeast extract monosodium glutamate natural flavoring beta carotene for color dried pork stock onion extract smoke flavoring garlic extractcontains wheat,haram
diced tomatoes in tomato juice tomato puree water tomato paste onions olive oil garlic contains less than of salt basil citric acid black pepper oregano,halal
tomato puree water tomato paste water high fructose corn syrup wheat flour contains less than of vegetable oil corn canola andor soybean salt potassium chloride natural flavoring citric acid ascorbic acid vitamin c monopotassium phosphate celery extract garlic oil contains wheat,halal
water tomato puree water tomato paste chicken and pork frankfurters made with chicken pork and beef mechanically separated chicken pork water corn syrup salt beef modified food starch dextrose ascorbic acid sodium nitrite natural flavors enriched pasta wheat flour niacin ferrous sulfate thiamine mononitrate riboflavin folic acid high fructose corn syrup contains less than of prepared mustard distilled vinegar water mustard seed salt turmeric paprika spice garlic enzyme modified cheddar cheese cheddar cheese cultured milk salt enzymes calcium chloride water disodium phosphate enzymes salt flavoring citric acid enzyme modified butter reconstituted skim milk monopotassium phosphate garlic dried contains wheat milk,haram
prepared navy beans water brown sugar onion tomato puree tomato paste water salt modified corn starch vinegar garlic powder natural flavor spice caramel color,halal
prepared organic chick peas water sea salt,halal
prepared navy beans water brown sugar contains or less of onion red bell pepper tomato puree tomato paste water salt modified corn starch mustard water vinegar mustard seed salt paprika turmeric vinegar natural flavor autolyzed yeast extract natural smoke flavor spice tomato powder vinegar powder caramel color pork fat bacon bacon fat garlic powder tamarind,haram
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water contains or less of salt canola and extra virgin olive oils wheat gluten malt syrup yeast malted barley flour rice flour sesame seed mealcontains wheat sesame seed meal,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water margarine palm oil water soybean oil salt natural flavor soy lecithin beta carotene color vitamin a palmitate added mozzarella cheese partskim milk cultures salt enzymes soybean oil contains or less of yeast salt sugar corn meal garlic powder malted barley flour parsley flakes garlic extract soy lecithin wheat gluten turmeric and annatto extracts colorcontains wheat milk soy,haram
chicken stock contains less than of mirepoix carrots celery onions salt chicken broth cane sugar natural flavoring onions yeast extract chicken fatdried,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar brown sugar sugar invert sugar molasses palm oil eggs molasses contains or less of salt cornstarch ginger baking soda cinnamon soy lecithin contains wheat eggs soy,halal
made with smiles and whole wheat flour sugar enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid vegetable oils canola sunflower andor soybean cocoa processed with alkali invert syrup chocolate contains or less of natural flavor palm kernel oil palm oil cocoa powder nonfat milk baking soda corn syrup solids baking powder sodium acid pyrophosphate baking soda monocalcium phosphate salt soy lecithin contains wheat milk soy,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water contains or less of canola and extra virgin olive oils salt thyme sugar yeast malt syrup malted barley flour rice flour sesame seed mealcontains wheat sesame seed meal,halal
peaches enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water sugar vegetable oils palm soybean hydrogenated cottonseed modified cornstarch contains or less of high fructose corn syrup dehydrated apples salt citric acid mono and diglycerides soy lecithin malted barley flour turmeric and annatto extracts for colorcontains wheat soy,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid whole wheat flour water honey cracked wheat oats malt syrup flaxseed wheat bran wheat germ sugar contains or less of salt wheat gluten yeast malted barley flour rice flour sesame seed mealcontains wheat sesame seed meal,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water olives contains or less of salt wheat bran canola and extra virgin olive oils black pepper yeast thyme malted barley flour rice flour sesame seed meal contains wheat sesame seed meal,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water low moisture partskim mozzarella cheese partskim milk cultures salt enzymes soybean oil contains or less of monterey jack cheese milk cultures salt enzymes salt yeast sugar parsley natural flavors garlic malted barley flour soy lecithincontains wheat milk soy,haram
made with smiles and enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid cheddar cheese cultured milk salt enzymes annatto vegetable oils canola sunflower andor soybean salt contains or less of yeast sugar autolyzed yeast extract paprika spices celery onion powder monocalcium phosphate baking soda contains wheat milk,haram
